tenant_id,first_name,last_name,property_id,unit_number,lease_start,lease_end,monthly_rent,security_deposit,move_in_date,satisfaction_score,at_risk
T0049,Kenneth,Lee,P012,164,2024-02-13,2026-02-02,2060.0,2060.0,2024-02-13,4.5,False
T0050,Sarah,Carter,P014,133,2022-04-03,2023-03-29,1010.0,2020.0,2022-04-03,3.6,False
T0051,Brian,Brown,P050,62,2022-07-19,2023-07-14,1720.0,3440.0,2022-07-19,3.6,False
T0052,William,Martin,P018,81,2023-04-26,2024-04-20,1500.0,1500.0,2023-04-26,4.8,False
T0053,Jeffrey,Torres,P038,86,2022-02-10,2024-01-31,1710.0,3420.0,2022-02-10,3.8,False
T0054,Joshua,Harris,P037,127,2023-07-01,2023-12-28,2980.0,5960.0,2023-07-01,4.1,False
T0055,Sharon,Young,P021,33,2022-07-20,2023-07-15,1830.0,3660.0,2022-07-20,4.3,False
T0056,Anna,Gonzalez,P025,10,2023-11-27,2024-11-21,2780.0,4170.0,2023-11-27,3.6,False
T0057,George,Torres,P031,50,2022-06-04,2024-05-24,2380.0,3570.0,2022-06-04,3.4,False
T0058,William,Torres,P038,150,2022-07-08,2024-06-27,2760.0,5520.0,2022-07-08,3.5,False
T0059,George,Allen,P025,36,2023-03-06,2024-02-29,2020.0,3030.0,2023-03-06,4.2,False
T0060,Helen,Robinson,P003,1,2023-10-04,2024-09-28,1920.0,3840.0,2023-10-04,3.4,False
T0061,Emily,Torres,P016,39,2023-01-05,2023-07-04,2670.0,4005.0,2023-01-05,3.9,False
T0062,Anna,Torres,P037,98,2024-08-15,2025-08-10,1430.0,2860.0,2024-08-15,4.2,False
T0063,George,Ramirez,P010,61,2023-02-15,2024-02-10,2360.0,3540.0,2023-02-15,3.3,False
T0064,Kenneth,Adams,P028,81,2022-05-12,2023-05-07,1670.0,1670.0,2022-05-12,3.4,False
T0065,Sarah,Thomas,P021,68,2023-04-29,2024-04-23,1530.0,2295.0,2023-04-29,3.1,False
T0066,Dorothy,Johnson,P048,1,2024-06-12,2025-06-07,1990.0,2985.0,2024-06-12,2.1,True
T0067,Nicholas,Johnson,P038,118,2023-07-23,2025-07-12,2730.0,2730.0,2023-07-23,4.5,True
T0068,Jason,White,P012,43,2022-06-21,2023-06-16,2880.0,5760.0,2022-06-21,4.7,False
T0069,Dorothy,Thomas,P032,126,2022-07-04,2023-06-29,2430.0,2430.0,2022-07-04,4.4,False
T0070,Samantha,Taylor,P029,31,2024-10-21,2025-04-19,2230.0,3345.0,2024-10-21,4.6,False
T0071,Kevin,Nguyen,P003,34,2023-05-03,2025-04-22,2940.0,5880.0,2023-05-03,4.6,False
T0072,Michelle,Moore,P014,33,2023-04-29,2024-04-23,1830.0,2745.0,2023-04-29,3.0,False
T0073,Thomas,Lee,P016,12,2022-04-25,2023-04-20,1870.0,3740.0,2022-04-25,4.3,False
T0074,Edward,Walker,P049,19,2023-05-20,2024-05-14,1900.0,3800.0,2023-05-20,4.9,False
T0075,Michael,Mitchell,P009,96,2023-09-24,2024-03-22,1780.0,3560.0,2023-09-24,4.8,False
T0076,Edward,Baker,P012,125,2022-04-22,2023-04-17,2750.0,2750.0,2022-04-22,3.6,False
T0077,Timothy,Taylor,P037,36,2023-04-30,2024-04-24,2150.0,3225.0,2023-04-30,4.8,False
T0078,Ryan,Green,P029,137,2023-04-28,2024-04-22,1150.0,1725.0,2023-04-28,4.8,False
T0079,Nicholas,Walker,P012,48,2024-04-12,2024-10-09,2930.0,5860.0,2024-04-12,3.0,False
T0080,Daniel,Hall,P028,68,2023-11-13,2024-11-07,1880.0,2820.0,2023-11-13,4.6,False
T0081,Laura,Robinson,P032,75,2023-12-22,2024-12-16,2090.0,4180.0,2023-12-22,4.6,False
T0082,Dorothy,Smith,P014,72,2022-04-17,2023-04-12,1010.0,1515.0,2022-04-17,4.5,False
T0083,Amanda,King,P029,19,2023-09-18,2024-09-12,1400.0,2800.0,2023-09-18,3.0,False
T0084,Joshua,Lewis,P045,52,2022-09-24,2024-09-13,3130.0,4695.0,2022-09-24,4.5,False
T0085,Laura,Jackson,P003,37,2022-10-01,2023-09-26,2920.0,2920.0,2022-10-01,4.1,False
T0086,Donald,Johnson,P040,18,2024-01-23,2025-01-17,1140.0,1140.0,2024-01-23,3.6,False
T0087,Kimberly,Brown,P012,13,2023-04-14,2023-10-11,3030.0,4545.0,2023-04-14,3.2,False
T0088,Sandra,Smith,P032,50,2023-06-17,2024-06-11,2340.0,4680.0,2023-06-17,3.6,False
T0089,Anthony,Moore,P031,20,2024-07-18,2025-07-13,2130.0,3195.0,2024-07-18,4.0,True
T0090,Michelle,Jackson,P007,110,2024-02-22,2025-02-16,2630.0,5260.0,2024-02-22,3.3,False
T0091,Stephanie,Taylor,P007,43,2024-05-06,2025-05-01,2470.0,2470.0,2024-05-06,3.1,False
T0092,Richard,Smith,P042,6,2023-05-24,2024-05-18,3900.0,5850.0,2023-05-24,4.2,False
T0093,Jeffrey,Mitchell,P029,53,2023-10-25,2024-10-19,1250.0,2500.0,2023-10-25,4.4,False
T0094,Paul,Walker,P029,90,2022-07-15,2024-07-04,1530.0,2295.0,2022-07-15,2.7,True
T0095,George,Sanchez,P040,24,2022-04-04,2022-10-01,3190.0,6380.0,2022-04-04,4.2,False
T0096,Nicole,Perez,P003,48,2022-03-26,2024-03-15,1780.0,2670.0,2022-03-26,3.2,False
T0097,Joshua,Williams,P026,9,2023-10-12,2025-10-01,1250.0,1250.0,2023-10-12,3.4,False
T0098,Melissa,Flores,P018,10,2023-07-30,2024-07-24,2070.0,3105.0,2023-07-30,3.4,False
T0099,Ashley,Scott,P022,123,2024-06-11,2025-06-06,2110.0,4220.0,2024-06-11,5.0,True
T0100,Emily,Williams,P012,12,2024-06-20,2024-12-17,2380.0,3570.0,2024-06-20,2.9,False
T0101,Nicole,Williams,P031,71,2024-08-14,2025-08-09,1540.0,2310.0,2024-08-14,4.6,True
T0102,Christopher,Davis,P014,145,2024-09-20,2025-09-15,1750.0,2625.0,2024-09-20,4.7,False
T0103,Andrew,Torres,P016,35,2023-08-05,2024-07-30,1160.0,2320.0,2023-08-05,4.4,False
T0104,Karen,Thomas,P046,4,2022-01-09,2023-12-30,2270.0,3405.0,2022-01-09,3.2,False
T0105,Sandra,Sanchez,P032,12,2023-11-05,2024-05-03,2470.0,3705.0,2023-11-05,5.0,False
T0106,Emma,Robinson,P009,27,2022-08-06,2023-08-01,2280.0,4560.0,2022-08-06,3.0,False
T0107,Brenda,Lee,P029,8,2022-01-12,2023-01-07,3100.0,6200.0,2022-01-12,4.2,False
T0108,Kenneth,Lee,P022,49,2022-09-22,2023-09-17,3200.0,3200.0,2022-09-22,4.6,False
T0109,Angela,Garcia,P038,48,2024-02-21,2024-08-19,2620.0,2620.0,2024-02-21,3.2,False
T0110,Ashley,Davis,P031,4,2022-11-30,2023-11-25,2870.0,4305.0,2022-11-30,3.4,False
T0111,Cynthia,Nelson,P028,33,2024-06-04,2025-05-30,2050.0,2050.0,2024-06-04,4.1,False
T0112,Gary,Moore,P037,105,2024-11-15,2025-11-10,2820.0,5640.0,2024-11-15,4.7,False
T0113,Anna,Green,P012,9,2022-07-04,2023-06-29,2300.0,3450.0,2022-07-04,4.2,False
T0114,Ashley,Young,P012,26,2024-11-17,2025-11-12,1160.0,2320.0,2024-11-17,4.3,False
T0115,Emma,Martin,P040,190,2022-06-21,2023-06-16,2370.0,2370.0,2022-06-21,3.0,False
T0116,Robert,Scott,P018,94,2023-09-08,2024-09-02,3160.0,3160.0,2023-09-08,3.5,False
T0117,Pamela,Nelson,P014,49,2024-11-17,2025-05-16,3010.0,6020.0,2024-11-17,3.7,False
T0118,Eric,Johnson,P012,128,2023-06-03,2024-05-28,2230.0,2230.0,2023-06-03,3.0,False
T0119,Shirley,Rivera,P044,22,2024-08-05,2025-07-31,4400.0,6600.0,2024-08-05,2.9,False
T0120,Emily,Wilson,P022,98,2024-07-20,2025-07-15,1660.0,1660.0,2024-07-20,4.9,False
T0121,Timothy,Davis,P035,39,2023-06-16,2023-12-13,2800.0,2800.0,2023-06-16,2.8,False
T0122,Nicholas,Martin,P012,101,2024-09-04,2025-08-30,1340.0,2680.0,2024-09-04,4.9,False
T0123,Dorothy,Smith,P006,27,2024-01-09,2025-01-03,2780.0,2780.0,2024-01-09,3.0,False
T0124,Christopher,Adams,P002,10,2022-02-02,2023-01-28,1200.0,1200.0,2022-02-02,3.3,False
T0125,Gary,Ramirez,P038,55,2023-01-26,2023-07-25,1930.0,1930.0,2023-01-26,3.8,False
T0126,Brenda,Nguyen,P018,40,2022-11-09,2023-11-04,1210.0,1210.0,2022-11-09,3.8,False
T0127,Anna,Clark,P009,65,2024-03-13,2024-09-09,1400.0,2100.0,2024-03-13,3.0,False
T0128,Nicholas,Anderson,P007,88,2023-08-19,2024-02-15,2610.0,5220.0,2023-08-19,3.9,False
T0129,Andrew,Adams,P026,6,2022-02-08,2023-02-03,1090.0,1635.0,2022-02-08,4.0,False
T0130,Brenda,Hall,P031,81,2022-08-28,2023-08-23,2950.0,4425.0,2022-08-28,4.2,False
T0131,Eric,Anderson,P002,90,2023-08-13,2024-08-07,1000.0,2000.0,2023-08-13,3.8,False
T0132,Pamela,Rodriguez,P018,66,2023-11-26,2025-11-15,3000.0,4500.0,2023-11-26,4.4,False
T0133,Edward,Walker,P025,33,2024-03-10,2025-03-05,2580.0,2580.0,2024-03-10,4.3,False
T0134,Donna,Hernandez,P040,146,2023-08-02,2024-01-29,2350.0,4700.0,2023-08-02,3.1,False
T0135,Robert,Johnson,P007,158,2024-05-01,2025-04-26,2060.0,3090.0,2024-05-01,3.3,False
T0136,Eric,Williams,P005,105,2024-01-02,2024-12-27,2930.0,2930.0,2024-01-02,4.7,False
T0137,Nicholas,Taylor,P014,125,2022-08-22,2024-08-11,1710.0,2565.0,2022-08-22,4.0,False
T0138,Helen,Hill,P016,100,2022-04-06,2024-03-26,2720.0,5440.0,2022-04-06,3.1,False
T0139,Thomas,Miller,P020,59,2022-04-14,2023-04-09,1180.0,2360.0,2022-04-14,4.9,False
T0140,Sandra,Wilson,P006,12,2022-07-28,2024-07-17,2320.0,3480.0,2022-07-28,1.9,True
T0141,Joseph,Martinez,P014,83,2023-08-22,2024-08-16,1300.0,2600.0,2023-08-22,3.9,False
T0142,Shirley,Roberts,P024,5,2022-10-10,2023-04-08,2800.0,2800.0,2022-10-10,3.8,False
T0143,Andrew,White,P050,77,2024-08-28,2025-08-23,1500.0,3000.0,2024-08-28,2.1,True
T0144,Shirley,Anderson,P003,35,2024-01-09,2025-01-03,2650.0,2650.0,2024-01-09,4.5,False
T0145,Jonathan,Baker,P012,126,2024-04-26,2025-04-21,2750.0,4125.0,2024-04-26,4.9,False
T0146,William,Garcia,P025,58,2024-06-25,2025-06-20,3070.0,4605.0,2024-06-25,3.9,False
T0147,Ashley,Torres,P014,150,2022-12-03,2023-11-28,1660.0,1660.0,2022-12-03,4.2,True
T0148,George,Campbell,P050,63,2024-11-30,2025-11-25,3150.0,6300.0,2024-11-30,4.7,False
T0149,Christopher,Hall,P016,118,2023-12-06,2024-06-03,1660.0,2490.0,2023-12-06,4.8,False
T0150,Ryan,Hall,P027,13,2023-02-25,2025-02-14,3100.0,4650.0,2023-02-25,4.2,False
T0151,Stephen,Perez,P021,18,2024-04-08,2025-04-03,2950.0,4425.0,2024-04-08,3.0,False
T0152,Nancy,Allen,P032,24,2022-09-16,2024-09-05,2580.0,5160.0,2022-09-16,3.4,False
T0153,Katherine,Nguyen,P047,50,2023-11-29,2024-11-23,1650.0,2475.0,2023-11-29,4.6,True
T0154,Lisa,White,P040,55,2023-09-15,2024-09-09,1490.0,2235.0,2023-09-15,3.0,False
T0155,Sandra,Lewis,P028,10,2023-12-27,2024-06-24,2360.0,3540.0,2023-12-27,3.8,True
T0156,Stephen,Hill,P039,3,2022-01-11,2023-01-06,7700.0,7700.0,2022-01-11,3.3,False
T0157,Amanda,Miller,P029,102,2023-08-06,2025-07-26,1740.0,2610.0,2023-08-06,3.9,False
T0158,Jeffrey,Clark,P007,55,2023-01-30,2024-01-25,2110.0,2110.0,2023-01-30,3.1,False
T0159,Kathleen,Baker,P014,34,2024-05-20,2025-05-15,1160.0,2320.0,2024-05-20,3.8,False
T0160,Jeffrey,Lewis,P024,13,2024-11-28,2025-11-23,2900.0,5800.0,2024-11-28,4.1,False
T0161,Charles,Young,P046,17,2024-09-29,2025-09-24,3040.0,6080.0,2024-09-29,3.1,False
T0162,Gary,Williams,P002,126,2024-11-17,2026-11-07,1980.0,3960.0,2024-11-17,3.3,False
T0163,Sandra,White,P029,14,2024-01-27,2024-07-25,1300.0,2600.0,2024-01-27,3.7,False
T0164,George,Jackson,P048,16,2022-11-10,2023-05-09,1600.0,2400.0,2022-11-10,5.0,False
T0165,Rebecca,Jackson,P032,26,2022-10-20,2023-10-15,1010.0,1010.0,2022-10-20,3.7,False
T0166,Jennifer,Clark,P021,26,2024-09-28,2025-03-27,1360.0,2040.0,2024-09-28,3.6,False
T0167,Charles,Carter,P012,160,2024-07-15,2025-07-10,2240.0,2240.0,2024-07-15,4.4,False
T0168,Nancy,Flores,P031,16,2024-08-01,2025-07-27,2090.0,4180.0,2024-08-01,4.4,False
T0169,Jennifer,Nelson,P029,49,2024-03-04,2025-02-27,2350.0,3525.0,2024-03-04,3.5,False
T0170,Rebecca,Scott,P003,23,2022-07-01,2023-06-26,2610.0,5220.0,2022-07-01,4.1,False
T0171,Robert,Torres,P032,21,2022-06-24,2023-06-19,1230.0,2460.0,2022-06-24,4.0,False
T0172,Stephen,Lopez,P033,36,2024-09-01,2026-08-22,2000.0,2000.0,2024-09-01,3.1,False
T0173,Ryan,Garcia,P042,36,2023-02-26,2024-02-21,2400.0,4800.0,2023-02-26,4.6,False
T0174,David,Perez,P035,12,2024-04-02,2026-03-23,8100.0,12150.0,2024-04-02,4.5,True
T0175,Thomas,Miller,P031,69,2022-02-19,2024-02-09,1360.0,2720.0,2022-02-19,3.4,False
T0176,Rebecca,Clark,P040,81,2022-10-22,2023-10-17,1330.0,2660.0,2022-10-22,3.0,False
T0177,Amy,Miller,P018,77,2023-10-29,2024-10-23,1330.0,1995.0,2023-10-29,1.7,True
T0178,Sandra,Brown,P021,77,2023-10-26,2024-10-20,1270.0,1270.0,2023-10-26,4.6,False
T0179,Thomas,Moore,P029,59,2023-04-30,2024-04-24,1490.0,1490.0,2023-04-30,3.9,False
T0180,Carol,Johnson,P011,3,2024-04-13,2024-10-10,5200.0,7800.0,2024-04-13,3.7,False
T0181,Charles,Martin,P009,16,2022-07-27,2023-07-22,2200.0,4400.0,2022-07-27,4.2,False
T0182,Kathleen,Wright,P031,42,2022-06-21,2024-06-10,1870.0,1870.0,2022-06-21,4.9,False
T0183,Pamela,Flores,P005,28,2024-05-17,2026-05-07,2710.0,4065.0,2024-05-17,2.8,False
T0184,Andrew,Hill,P012,70,2022-12-09,2023-06-07,2420.0,3630.0,2022-12-09,4.7,True
T0185,Helen,Jackson,P014,78,2024-02-18,2025-02-12,2840.0,2840.0,2024-02-18,3.3,False
T0186,Dorothy,Campbell,P031,75,2022-05-24,2023-05-19,1310.0,2620.0,2022-05-24,4.3,False
T0187,Joshua,Baker,P043,9,2024-06-03,2025-05-29,12000.0,18000.0,2024-06-03,4.9,False
T0188,Sharon,Wilson,P028,161,2024-07-16,2025-07-11,2380.0,3570.0,2024-07-16,4.9,True
T0189,James,Hill,P032,133,2023-11-04,2024-05-02,3110.0,4665.0,2023-11-04,3.1,False
T0190,Nicholas,Carter,P040,161,2022-01-20,2023-01-15,960.0,1440.0,2022-01-20,4.8,False
T0191,Ryan,Baker,P022,59,2022-06-08,2024-05-28,2160.0,2160.0,2022-06-08,4.4,True
T0192,Maria,Davis,P032,136,2024-02-10,2026-01-30,1740.0,2610.0,2024-02-10,3.2,False
T0193,Deborah,Baker,P002,1,2023-01-31,2024-01-26,1780.0,3560.0,2023-01-31,4.1,True
T0194,Donald,Anderson,P003,16,2022-07-04,2024-06-23,1760.0,2640.0,2022-07-04,4.6,False
T0195,Mark,Smith,P028,57,2022-03-17,2023-03-12,3130.0,3130.0,2022-03-17,4.3,False
T0196,Nicole,Hernandez,P018,36,2024-03-22,2024-09-18,3160.0,6320.0,2024-03-22,4.1,False
T0197,Charles,Taylor,P050,24,2022-12-26,2023-06-24,1390.0,2780.0,2022-12-26,4.4,False
T0198,Stephen,Flores,P027,8,2023-07-16,2024-07-10,4900.0,7350.0,2023-07-16,2.9,False
T0199,Robert,Lee,P040,101,2024-07-18,2025-01-14,2480.0,3720.0,2024-07-18,4.2,False
T0200,Nicole,White,P014,38,2024-04-13,2025-04-08,2850.0,5700.0,2024-04-13,3.9,False
T0201,Brenda,Lee,P007,71,2023-04-05,2023-10-02,2660.0,2660.0,2023-04-05,3.7,False
T0202,Donald,Hall,P005,1,2023-11-17,2024-05-15,1830.0,2745.0,2023-11-17,4.6,False
T0203,Joseph,Johnson,P032,113,2023-05-27,2024-05-21,3100.0,4650.0,2023-05-27,3.5,False
T0204,Steven,Thomas,P043,34,2022-02-19,2024-02-09,6300.0,6300.0,2022-02-19,4.9,False
T0205,Paul,Jones,P023,37,2023-11-29,2024-05-27,6700.0,13400.0,2023-11-29,3.9,False
T0206,Lisa,Williams,P040,38,2022-07-15,2023-07-10,2340.0,3510.0,2022-07-15,3.0,False
T0207,Lisa,Martin,P033,13,2022-05-14,2023-05-09,2500.0,5000.0,2022-05-14,4.3,True
T0208,Stephanie,Harris,P040,14,2022-05-15,2022-11-11,2360.0,3540.0,2022-05-15,4.0,False
T0209,Maria,Robinson,P010,47,2024-04-21,2025-04-16,1170.0,1755.0,2024-04-21,4.5,False
T0210,Sarah,Robinson,P024,28,2024-05-26,2026-05-16,3200.0,6400.0,2024-05-26,3.5,False
T0211,William,Nguyen,P002,99,2023-01-30,2023-07-29,1690.0,1690.0,2023-01-30,4.1,False
T0212,Ryan,Lopez,P028,94,2022-09-16,2024-09-05,2980.0,2980.0,2022-09-16,3.7,False
T0213,Helen,Adams,P012,113,2022-04-01,2022-09-28,1260.0,1890.0,2022-04-01,4.1,False
T0214,Stephanie,White,P022,122,2022-10-26,2023-10-21,1650.0,1650.0,2022-10-26,4.1,False
T0215,Robert,Ramirez,P025,53,2022-10-24,2023-04-22,2110.0,3165.0,2022-10-24,4.6,False
T0216,Gary,Hall,P009,21,2023-02-15,2024-02-10,1390.0,2780.0,2023-02-15,3.6,False
T0217,George,Clark,P029,145,2023-11-10,2025-10-30,3160.0,4740.0,2023-11-10,3.5,False
T0218,Donald,Hall,P010,43,2024-07-19,2025-01-15,1320.0,1320.0,2024-07-19,4.8,False
T0219,Kevin,Mitchell,P032,110,2023-03-13,2024-03-07,2000.0,3000.0,2023-03-13,4.5,False
T0220,Sarah,Scott,P012,49,2023-01-13,2023-07-12,1410.0,1410.0,2023-01-13,3.0,False
T0221,Sarah,Gonzalez,P040,180,2024-06-20,2025-06-15,1270.0,1270.0,2024-06-20,3.6,False
T0222,Amanda,Lopez,P014,118,2023-03-25,2024-03-19,1590.0,1590.0,2023-03-25,3.5,False
T0223,Ronald,Adams,P012,72,2023-06-21,2023-12-18,1000.0,1000.0,2023-06-21,3.9,True
T0224,Kathleen,Nelson,P004,1,2023-03-07,2024-03-01,1710.0,1710.0,2023-03-07,3.6,False
T0225,Charles,Gonzalez,P022,29,2024-06-07,2024-12-04,3070.0,3070.0,2024-06-07,4.7,False
T0226,Amanda,Williams,P049,4,2024-02-06,2025-01-31,2150.0,4300.0,2024-02-06,4.9,False
T0227,Deborah,Rodriguez,P014,136,2023-08-26,2024-08-20,2270.0,4540.0,2023-08-26,2.9,False
T0228,William,Hernandez,P038,116,2024-09-28,2025-09-23,3130.0,6260.0,2024-09-28,4.5,False
T0229,Laura,Rivera,P028,130,2024-11-08,2025-11-03,1820.0,2730.0,2024-11-08,3.8,False
T0230,Michael,Wilson,P049,26,2024-09-16,2025-09-11,2130.0,2130.0,2024-09-16,4.1,False
T0231,Ronald,Torres,P025,7,2024-07-14,2025-07-09,2960.0,2960.0,2024-07-14,2.6,True
T0232,Richard,Jackson,P050,41,2024-02-06,2025-01-31,3050.0,4575.0,2024-02-06,3.1,False
T0233,Sharon,Ramirez,P040,164,2023-04-17,2025-04-06,2120.0,3180.0,2023-04-17,3.3,True
T0234,Ronald,Johnson,P005,90,2024-04-17,2025-04-12,2000.0,2000.0,2024-04-17,3.5,False
T0235,Eric,Allen,P009,90,2023-06-28,2023-12-25,1940.0,3880.0,2023-06-28,3.0,False
T0236,Michael,Wright,P012,16,2023-07-21,2024-07-15,2400.0,2400.0,2023-07-21,3.0,False
T0237,Deborah,Gonzalez,P029,108,2023-11-06,2024-10-31,1700.0,3400.0,2023-11-06,4.6,False
T0238,George,Jackson,P038,143,2022-10-10,2024-09-29,2310.0,3465.0,2022-10-10,2.8,False
T0239,Maria,Walker,P028,135,2024-04-07,2025-04-02,2710.0,5420.0,2024-04-07,4.5,False
T0240,Mark,Walker,P022,27,2022-11-02,2023-10-28,2100.0,2100.0,2022-11-02,4.4,False
T0241,Anthony,Ramirez,P028,103,2024-08-17,2025-08-12,2110.0,4220.0,2024-08-17,1.8,True
T0242,Charles,Martin,P032,43,2024-06-17,2025-06-12,1890.0,3780.0,2024-06-17,2.0,True
T0243,Angela,Carter,P046,29,2023-12-28,2024-12-22,970.0,1940.0,2023-12-28,3.7,False
T0244,Dorothy,Martinez,P038,147,2023-10-30,2025-10-19,2160.0,3240.0,2023-10-30,4.2,True
T0245,Stephen,Harris,P005,4,2024-03-11,2025-03-06,2230.0,2230.0,2024-03-11,3.7,False
T0246,George,Garcia,P009,104,2023-11-05,2025-10-25,2020.0,2020.0,2023-11-05,4.2,False
T0247,Sarah,Lopez,P025,22,2022-12-30,2023-06-28,1180.0,1180.0,2022-12-30,4.1,False
T0248,Samantha,Jones,P050,79,2024-03-01,2025-02-24,1110.0,1665.0,2024-03-01,3.4,False
T0249,Jason,Sanchez,P025,38,2024-11-27,2025-05-26,1080.0,1080.0,2024-11-27,4.7,False
T0250,Amy,Wilson,P005,36,2022-09-22,2024-09-11,3180.0,3180.0,2022-09-22,4.4,False
T0251,Daniel,Hill,P030,10,2023-09-27,2024-09-21,10700.0,21400.0,2023-09-27,4.3,False
